title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
Grand Theft Auto V,64.29,26.181855076970926,28.131248639402894,9.976896283626187,"PC, PS3, PS4, PS5, X360, XOne, XS",Action,Rockstar Games,Rockstar North,2013-09-17
Call of Duty: Black Ops,30.990000000000002,17.869111401502778,9.567314603070894,3.5535739954263312,"DS, PC, PS3, PSN, Wii, X360, XBL",Shooter,Activision,Treyarch,2010-11-09
Call of Duty: Modern Warfare 3,30.71,15.770273746701848,11.404835092348286,3.5348911609498685,"PC, PS3, Wii, X360",Shooter,Activision,Infinity Ward,2011-11-08
Call of Duty: Black Ops II,29.59,14.211251700680272,11.151605442176871,4.227142857142857,"PC, PS3, WiiU, X360",Shooter,Activision,Treyarch,2012-11-13
Call of Duty: Ghosts,28.8,15.234562697576397,9.71127502634352,3.8541622760800847,"PC, PS3, PS4, WiiU, X360, XOne",Shooter,Activision,Infinity Ward,2013-11-05
Call of Duty: Black Ops 3,26.72,12.926430188679245,9.841026415094339,3.9525433962264147,"PC, PS3, PS4, X360, XOne",Shooter,Activision,Treyarch,2015-11-06
Call of Duty: Modern Warfare 2,25.02,13.577987975951904,8.102669338677355,3.339342685370742,"PC, PS3, PSN, X360, XBL",Shooter,Activision,Infinity Ward,2009-11-10
Minecraft,24.009999999999998,9.683001333926189,10.120711427301021,4.206287238772787,"3DS, And, NS, PC, PS3, PS4, PSV, Series, WiiU, X360, XOne, iOS",Misc,Sony Computer Entertainment,Mojang,2010-05-10
Grand Theft Auto IV,22.53,11.625800711743775,7.656992882562279,3.247206405693951,"PC, PS3, X360, XBL",Action,Rockstar Games,Rockstar North,2008-04-29
Call of Duty: Advanced Warfare,21.78,10.66,7.99,3.13,"PC, PS3, PS4, X360, XOne",Shooter,Activision,Sledgehammer Games,2014-11-04
The Elder Scrolls V: Skyrim,20.51,9.787228070175438,8.306807017543859,2.415964912280702,"NS, PC, PS3, X360",Role-Playing,Bethesda Softworks,Bethesda Game Studios,2011-11-10
Call of Duty: WWII,19.82,8.745935550935553,8.478097713097714,2.595966735966736,"PC, PS4, XOne",Shooter,Activision,Sledgehammer Games,2017-11-03
Red Dead Redemption 2,19.71,9.274084507042254,7.896338028169015,2.5395774647887324,"PC, PS4, XOne",Action-Adventure,Rockstar Games,Rockstar Games,2018-10-26
Call of Duty 4: Modern Warfare,18.33,10.070988530857456,5.806335335882031,2.4526761332605136,"DS, PC, PS3, PSN, X360, XBL",Shooter,Activision,Infinity Ward,2007-11-05
FIFA 15,18.03,3.2791163055872294,12.797805017103764,1.9530786773090083,"3DS, PC, PS3, PS4, PSV, Wii, X360, XOne",Sports,EA Sports,EA Canada,2014-09-23
Battlefield 3,17.32,8.429271758436943,6.665482534043813,2.225245707519242,"PC, PS3, X360",Shooter,Electronic Arts,Dice,2011-10-25
FIFA 14,17.310000000000002,2.91196261682243,12.274731308411216,2.1233060747663552,"3DS, And, PC, PS2, PS3, PS4, PSP, PSV, Wii, X360, XOne",Sports,EA Sports,EA Canada,2013-09-24
FIFA 17,17.02,2.693812949640288,12.316031175059953,2.0101558752997604,"PC, PS3, PS4, X360, XOne",Sports,Electronic Arts,EA Canada,2016-09-27
FIFA 18,16.92,2.752292917166866,11.963841536614646,2.203865546218487,"NS, PC, PS3, PS4, X360, XOne",Sports,EA Sports,EA Vancouver,2017-09-26
Guitar Hero III: Legends of Rock,16.38,11.13320317266626,2.56843197071385,2.67836485661989,"PC, PS2, PS3, Wii, X360",Misc,RedOctane,BudCat Creations,2007-10-28
Grand Theft Auto: Vice City,16.189999999999998,8.4151977750309,5.523411619283065,2.2513906056860318,"PC, PS2",Action,Rockstar Games,Rockstar North,2002-10-28
Call of Duty: World at War,15.94,9.379999999999999,4.72,1.8400000000000016,"DS, PC, PS3, Wii, X360",Shooter,Activision,Treyarch,2008-11-10
FIFA 16,15.82,3.235676375404531,10.812893203883494,1.7714304207119742,"PC, PS3, PS4, X360, XOne",Sports,EA Sports,EA Canada,2015-09-22
FIFA 13,15.36,2.6945597897503286,10.202996057818659,2.462444152431012,"3DS, PC, PS2, PS3, PSP, Wii, WiiU, X360",Sports,EA Sports,EA Canada,2012-09-25
LEGO Star Wars: The Complete Saga,15.33,8.95,4.82,1.5600000000000005,"DS, OSX, PC, PS3, Wii, X360, XBL",Action,LucasArts,Traveller's Tales,2007-11-06
The Sims 3,15.2,4.521187025534851,10.017943409247756,0.6608695652173913,"3DS, And, DS, OSX, PC, PS3, Wii, WinP, X360",Simulation,Electronic Arts,EA Redwood Shores,2009-06-02
Battlefield 4,14.6,6.6937892533147245,5.899092812281926,2.00711793440335,"PC, PS3, PS4, X360, XOne",Shooter,Electronic Arts,EA DICE,2013-10-29
Call of Duty: Black Ops IIII,14.3,7.6204627621113525,4.621908893709327,2.0576283441793204,"PC, PS4, XOne",Shooter,Activision,Treyarch,2018-10-12
Assassin's Creed IV: Black Flag,13.709999999999999,6.355156249999999,5.692098214285713,1.6627455357142855,"PC, PS3, PS4, WiiU, X360, XOne",Action-Adventure,Ubisoft,Ubisoft Montreal,2013-10-29
Call of Duty: Infinite Warfare,13.6,6.350114068441064,5.646844106463878,1.6030418250950569,"PC, PS4, XOne",Shooter,Activision,Infinity Ward,2016-11-04
LEGO Batman: The Videogame,13.55,7.67,3.95,1.9299999999999997,"DS, PC, PS2, PS3, PSN, PSP, Wii, X360",Adventure,Warner Bros. Interactive,Traveller's Tales,2008-09-23
Fallout 4,13.510000000000002,5.845673076923077,5.585865384615385,2.078461538461539,"PC, PS4, XOne",Role-Playing,Bethesda Softworks,Bethesda Game Studios,2015-11-10
Battlefield 1,13.16,5.896885496183206,5.34436641221374,1.9187480916030535,"PC, PS4, XOne",Shooter,Electronic Arts,EA DICE,2016-10-21
Grand Theft Auto III,13.11,6.99,4.52,1.6,"PC, PS2, XB",Action,Rockstar Games,DMA Design,2001-10-22
Red Dead Redemption,13.07,6.595045941807045,4.613529862174579,1.8614241960183768,"PS3, PSN, X360, XBL",Action,Rockstar Games,Rockstar San Diego,2010-05-18
FIFA Soccer 12,13.06,2.128902821316615,8.710078369905956,2.22101880877743,"3DS, PC, PS2, PS3, PSP, Wii, X360",Sports,EA Sports,EA Canada,2011-09-27
Assassin's Creed III,13.059999999999999,6.293369313801079,5.034695451040863,1.7319352351580568,"PC, PS3, WiiU, X360",Action-Adventure,Ubisoft,Ubisoft Montreal,2012-10-30
Destiny,12.78,6.983208469055374,4.246123778501628,1.5506677524429966,"PS3, PS4, Series, X360, XOne",Shooter,Activision,Bungie,2014-09-09
Star Wars Battlefront (2015),12.67,5.944074367088608,4.791344936708861,1.9345806962025318,"PC, PS4, XOne",Shooter,Electronic Arts,EA DICE,2015-11-17
FIFA Soccer 11,12.53,2.051511335012594,8.405936188077245,2.0725524769101598,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,EA Sports,EA Canada,2010-09-28
FIFA 19,12.22,1.600961857379768,9.048474295190713,1.5705638474295194,"NS, PC, PS3, PS4, X360, XOne",Sports,Electronic Arts,EA Sports,2018-09-28
LEGO Indiana Jones: The Original Adventures,11.93,6.77,3.18,1.9800000000000004,"DS, OSX, PC, PS2, PS3, PSN, PSP, Wii, X360",Adventure,LucasArts,Traveller's Tales,2008-06-03
Assassin's Creed II,11.41,5.740309460654289,3.984924845269673,1.6847656940760387,"PC, PS3, X360, XBL",Action,Ubisoft,Ubisoft Montreal,2009-11-17
Assassin's Creed,11.29,5.227782724844168,4.513989314336599,1.5482279608192346,"PC, PS3, PSN, Series, X360, XBL",Action,Ubisoft,Ubisoft Montreal,2007-11-13
Grand Theft Auto: Liberty City Stories,11.26,4.467935943060497,4.237526690391459,2.554537366548042,"PS2, PSN, PSP",Action,Rockstar Games,Rockstar Leeds,2005-10-24
Need for Speed Underground 2,10.95,5.267728531855955,4.458864265927977,1.2234072022160665,"DS, GBA, GC, PC, PS2, XB",Racing,Electronic Arts,EA Black Box,2004-11-09
FIFA Soccer 10,10.72,1.9934724857685011,6.326223908918407,2.400303605313093,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,EA Sports,EA Canada,2009-10-02
Need for Speed Underground,10.41,5.295609284332689,3.9666731141199225,1.1477176015473889,"GBA, GC, PS2, XB",Racing,Electronic Arts,EA Black Box,2003-11-17
Batman: Arkham City,10.29,5.710000000000001,3.17,1.41,"PC, PS3, X360",Action,Warner Bros. Interactive,Rocksteady Studios,2011-10-18
Star Wars: The Force Unleashed,10.07,5.766767895878526,3.1673535791757055,1.1358785249457704,"DS, PS2, PS3, PSN, PSP, Wii, X360",Action,LucasArts,LucasArts,2008-09-16
Guitar Hero: World Tour,10.03,6.2,2.21,1.6199999999999992,"PC, PS2, PS3, Wii, X360",Misc,Activision,Vicarious Visions,2008-10-26
Halo: Reach,9.97,7.08,2.01,0.88,"X360, XBL",Shooter,Microsoft Game Studios,Bungie,2010-09-14
Halo 4,9.96,6.726753768844222,2.362371859296483,0.8708743718592966,X360,Shooter,Microsoft Studios,343 Industries,2012-11-06
Fallout 3,9.94,5.65551724137931,3.0445030425963484,1.2399797160243407,"PC, PS3, X360, XBL",Role-Playing,Bethesda Softworks,Bethesda Game Studios,2008-10-28
Watch Dogs,9.700000000000001,3.9329831932773116,4.452626050420169,1.3143907563025212,"PC, PS3, PS4, Series, WiiU, X360, XOne",Action-Adventure,Ubisoft,Ubisoft Montreal,2014-05-27
FIFA Soccer 08,9.49,2.844097859327217,5.760749235474006,0.885152905198777,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,EA Sports,EA Canada,2007-10-08
Assassin's Creed: Revelations,9.21,3.892261251372119,4.033798024149287,1.2839407244785952,"PC, PS3, X360",Action,Ubisoft,Ubisoft Montreal,2011-11-15
Madden NFL 06,9.03,7.836203389830507,0.4693559322033897,0.7244406779661016,"DS, GBA, GC, PC, PS2, PSP, X360, XB",Sports,EA Sports,EA Tiburon,2005-08-08
Just Dance 4,8.93,5.42,2.65,0.8599999999999994,"PS3, Wii, WiiU, X360",Music,Ubisoft,Ubisoft,2012-10-09
Medal of Honor: Frontline,8.91,4.419762711864408,3.3223728813559323,1.167864406779661,"GC, PS2, PSN, XB",Shooter,Electronic Arts,EA Los Angeles,2002-05-28
Resident Evil 5,8.74,4.184788087056128,2.352691867124857,2.202520045819015,"NS, PC, PS3, PS4, X360, XBL, XOne",Action,Capcom,Capcom,2009-03-13
FIFA Soccer 09,8.67,1.7219163763066203,4.04801393728223,2.90006968641115,"DS, PC, PS2, PS3, PSN, PSP, X360",Sports,Electronic Arts,EA Canada,2008-10-14
Medal of Honor,8.62,4.60688836104513,3.235059382422803,0.7780522565320664,"PC, PS, PS3, PSN, Series, X360",Shooter,Electronic Arts,EA Los Angeles,1999-10-31
Need for Speed: ProStreet,8.55,3.395600475624257,2.5721165279429257,2.5822829964328182,"DS, PC, PS2, PS3, PSN, PSP, Wii, X360, XBL",Racing,Electronic Arts,EA Black Box,2007-11-13
Far Cry 4,8.549999999999999,3.062989323843416,4.290213523131673,1.196797153024911,"PC, PS3, PS4, X360, XOne",Shooter,Ubisoft,Ubisoft Montreal,2014-11-18
Pro Evolution Soccer 2008,8.48,0.29,3.38,4.8100000000000005,"DS, PC, PS2, PS3, PSP, Wii, X360",Sports,Konami,Konami,2007-10-26
LEGO Harry Potter: Years 1-4,8.46,4.04,3.44,0.9800000000000004,"DS, OSX, PC, PS3, PSN, PSP, Wii, X360",Adventure,Warner Bros. Interactive,Traveller's Tales,2010-06-29
